arrange the sushi in a row .	cut sushi into thin slices . arrange on plate on the leaf . add a dollop of wasabi .	0 1 1 0 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1
arrange the sushi in a row .	take your slices of sushi and stack them into rows . now take the rows and align a long section on your plate on top of the leaf . now take the other smaller rows and arrange them around the longer row .	1 1 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1
arrange the sushi in a row .	arrange the salmon strips in a row so that all of the pieces are all closely touching each other .	1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1
cut the meat at a slant .	take a large piece of meat . take a cutting board and a sharp knife . position the knife in a slant angle . cut the meat along in to thin slices slantingly . arrange the slices of meat .	1 1 0 0 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1
cut the meat at a slant .	place the fish on your cutting board . use a very sharp knife cutting it at a 45 degree angle . cut it very thinly . use your other hand to support the fish while you 're cutting with the knife to make sure you cut it thinly .	1 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1
cut the meat at a slant .	place left fingers over belly part of salmon . hold knife at angle . make thin slices at an angle .	0 0 0 1 1 1 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1
slice the fish horizontally .	take a piece of the fish and set it on its side . carefully using the knife , cut the fish across into small slices .	1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1
slice the fish horizontally .	take the salmon and cut it gently the hot dog way . make sure all of the pieces are equal .	1 1 0 1 1 1 0 1 0 0 0 1 1 0 1 1 1 0 1 1 1
slice the fish horizontally .	now we are going to take our pieces of fish and cut them horizontally . this is essentially cutting them in half but going from the side . make sure you are careful when using your knife !	1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1
cut the fish vertically into slices .	put fish on a cutting board . use a sharp knife to cut the fish into thin slices .	1 1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 0 1 1
